no.,pcd_name,y_test,y_no_pca,y_with_pca
1,3-0.25-0,15.07,15.636999999999995,15.701399999999989
2,3-0.25-15,15.07,15.266199999999996,15.545799999999995
3,3-0.25-30,15.07,15.130999999999997,14.932799999999995
4,3-0.25-45,15.07,14.586199999999995,14.525999999999993
5,3-0.25-60,15.07,14.132399999999988,14.354799999999988
6,3-0.25-75,15.07,14.709399999999995,14.761399999999995
7,3-0.25-90,15.07,15.025999999999993,15.318999999999994
8,3-0.35-0,15.07,16.799599999999995,16.63399999999999
9,3-0.35-15,15.07,14.67239999999999,14.912999999999995
10,3-0.35-30,15.07,14.492399999999991,14.50259999999999
11,3-0.35-45,15.07,14.980999999999993,15.082799999999997
12,3-0.35-60,15.07,14.880399999999991,14.904799999999993
13,3-0.35-75,15.07,14.817799999999993,14.640199999999998
14,3-0.35-90,15.07,15.41799999999999,15.460199999999988
15,3-0.45-0,15.07,15.510399999999994,15.621399999999996
16,3-0.45-15,15.07,14.314199999999992,14.416999999999994
17,3-0.45-30,15.07,14.342599999999997,14.500399999999997
18,3-0.45-45,15.07,14.778599999999992,14.753399999999994
19,3-0.45-60,15.07,14.245599999999994,14.513599999999995
20,3-0.45-75,15.07,15.012199999999996,15.2474
21,3-0.45-90,15.07,14.995399999999993,15.053199999999995
22,5-0.25-0,12.42,15.169199999999998,15.373599999999996
23,5-0.25-15,12.42,14.438599999999997,14.797199999999991
24,5-0.25-30,12.42,14.009399999999996,13.810799999999997
25,5-0.25-45,12.42,14.387399999999998,14.197799999999996
26,5-0.25-60,12.42,13.797399999999996,13.833199999999994
27,5-0.25-75,12.42,14.118599999999994,14.149599999999996
28,5-0.25-90,12.42,14.572399999999995,14.640999999999995
29,5-0.35-0,12.42,14.569799999999992,14.443399999999992
30,5-0.35-15,12.42,14.530399999999991,14.212599999999993
31,5-0.35-30,12.42,14.264199999999995,14.031
32,5-0.35-45,12.42,14.587999999999989,14.358999999999995
33,5-0.35-60,12.42,14.837399999999988,14.496199999999995
34,5-0.35-75,12.42,14.906799999999992,14.95339999999999
35,5-0.35-90,12.42,14.6236,14.6732
36,5-0.45-0,12.42,12.930800000000007,12.669600000000003
37,5-0.45-15,12.42,12.325600000000003,12.4878
38,5-0.45-30,12.42,12.614600000000003,12.5752
39,5-0.45-45,12.42,12.607400000000002,12.689000000000004
40,5-0.45-60,12.42,12.822400000000005,12.783600000000003
41,5-0.45-75,12.42,12.9308,13.023200000000005
42,5-0.45-90,12.42,12.6318,12.757200000000003
43,6-0.25-0,16.41,17.371399999999998,17.440999999999992
44,6-0.25-15,16.41,17.331599999999995,17.62259999999999
45,6-0.25-30,16.41,16.313,16.246199999999998
46,6-0.25-45,16.41,16.2858,16.292999999999996
47,6-0.25-60,16.41,16.275999999999996,16.281999999999996
48,6-0.25-75,16.41,16.555599999999995,16.4852
49,6-0.25-90,16.41,16.25059999999999,16.2428
50,6-0.35-0,16.41,15.711999999999996,15.553599999999996
51,6-0.35-15,16.41,12.739200000000004,12.803600000000007
52,6-0.35-30,16.41,12.7972,12.9782
53,6-0.35-45,16.41,12.5492,12.620600000000001
54,6-0.35-60,16.41,13.2562,13.231400000000002
55,6-0.35-75,16.41,12.929000000000004,13.306
56,6-0.35-90,16.41,13.124399999999998,13.341799999999996
57,6-0.45-0,16.41,16.707599999999992,17.056399999999996
58,6-0.45-15,16.41,15.472199999999996,15.760599999999993
59,6-0.45-30,16.41,15.596199999999994,16.011599999999994
60,6-0.45-45,16.41,15.546999999999993,15.819999999999988
61,6-0.45-60,16.41,15.403599999999992,15.65299999999999
62,6-0.45-75,16.41,15.583599999999995,15.379399999999993
63,6-0.45-90,16.41,14.86579999999999,14.84239999999999
64,7-0.25-0,12.0,15.223799999999997,15.212999999999996
65,7-0.25-15,12.0,15.321399999999997,15.171999999999999
66,7-0.25-30,12.0,14.617999999999993,14.56299999999999
67,7-0.25-45,12.0,13.718199999999998,13.805999999999992
68,7-0.25-60,12.0,14.537599999999992,14.425399999999991
69,7-0.25-75,12.0,13.699999999999996,13.687599999999993
70,7-0.25-90,12.0,13.666999999999994,13.803999999999997
71,7-0.35-0,12.0,15.758799999999994,14.784799999999997
72,7-0.35-15,12.0,12.915999999999997,12.964400000000001
73,7-0.35-30,12.0,13.5814,13.753000000000002
74,7-0.35-45,12.0,13.4262,13.275600000000003
75,7-0.35-60,12.0,13.613599999999996,13.893200000000002
76,7-0.35-75,12.0,13.6854,13.895399999999997
77,7-0.35-90,12.0,13.504000000000003,13.728599999999998
78,7-0.45-0,12.0,13.067399999999994,12.814799999999998
79,7-0.45-15,12.0,12.249200000000005,12.261800000000004
80,7-0.45-30,12.0,13.103999999999994,13.073199999999993
81,7-0.45-45,12.0,12.150400000000005,12.151400000000002
82,7-0.45-60,12.0,12.228600000000004,12.204200000000005
83,7-0.45-75,12.0,12.382400000000008,12.523400000000006
84,7-0.45-90,12.0,13.088199999999997,13.265999999999995
85,8-0.25-0,13.71,16.03239999999999,16.18379999999999
86,8-0.25-15,13.71,16.46859999999999,16.43019999999999
87,8-0.25-30,13.71,15.97279999999999,15.927799999999989
88,8-0.25-45,13.71,14.134599999999995,14.274399999999993
89,8-0.25-60,13.71,14.111599999999994,14.193599999999995
90,8-0.25-75,13.71,14.157399999999988,14.44459999999999
91,8-0.25-90,13.71,14.218399999999995,14.306799999999992
92,8-0.35-0,13.71,17.30599999999999,17.13139999999999
93,8-0.35-15,13.71,16.019599999999993,16.11259999999999
94,8-0.35-30,13.71,14.577799999999995,14.849799999999995
95,8-0.35-45,13.71,14.611599999999996,14.679199999999994
96,8-0.35-60,13.71,14.382199999999994,14.270599999999993
97,8-0.35-75,13.71,14.617799999999994,14.60139999999999
98,8-0.35-90,13.71,14.653199999999993,14.725399999999993
99,8-0.45-0,13.71,16.39079999999999,16.36699999999999
100,8-0.45-15,13.71,14.832199999999995,14.856599999999991
101,8-0.45-30,13.71,15.010399999999994,14.931599999999989
102,8-0.45-45,13.71,14.76239999999999,14.635199999999996
103,8-0.45-60,13.71,15.083399999999994,15.031599999999996
104,8-0.45-75,13.71,15.013399999999995,15.081599999999995
105,8-0.45-90,13.71,15.356399999999992,14.819999999999991
106,9-0.25-0,15.39,15.855999999999995,16.033399999999993
107,9-0.25-15,15.39,15.610799999999992,15.901999999999994
108,9-0.25-30,15.39,15.843999999999992,16.35839999999999
109,9-0.25-45,15.39,15.53499999999999,15.37079999999999
110,9-0.25-60,15.39,14.025999999999993,14.295999999999992
111,9-0.25-75,15.39,14.18699999999999,14.423399999999992
112,9-0.25-90,15.39,14.05979999999999,14.133799999999992
113,9-0.35-0,15.39,17.150599999999994,15.993599999999997
114,9-0.35-15,15.39,15.662399999999998,15.247199999999998
115,9-0.35-30,15.39,13.659599999999998,13.704399999999996
116,9-0.35-45,15.39,14.080799999999993,13.97799999999999
117,9-0.35-60,15.39,14.59279999999999,14.405999999999988
118,9-0.35-75,15.39,13.483999999999991,13.422999999999993
119,9-0.35-90,15.39,14.314599999999992,14.345999999999995
120,9-0.45-0,15.39,14.887399999999996,14.896799999999994
121,9-0.45-15,15.39,13.85519999999999,13.991399999999993
122,9-0.45-30,15.39,13.469199999999994,13.31059999999999
123,9-0.45-45,15.39,14.285999999999992,14.137599999999996
124,9-0.45-60,15.39,14.413999999999993,14.376199999999994
125,9-0.45-75,15.39,13.556799999999992,13.54839999999999
126,9-0.45-90,15.39,14.469599999999993,14.441399999999994
127,10-0.25-0,11.6,13.970799999999997,14.32
128,10-0.25-15,11.6,14.2566,14.671799999999996
129,10-0.25-30,11.6,15.482799999999992,15.340999999999992
130,10-0.25-45,11.6,13.813400000000001,13.640000000000002
131,10-0.25-60,11.6,13.4226,13.4882
132,10-0.25-75,11.6,13.485399999999997,13.452999999999998
133,10-0.25-90,11.6,14.265399999999994,14.428599999999994
134,10-0.35-0,11.6,14.724999999999993,14.984199999999996
135,10-0.35-15,11.6,13.152600000000005,13.485600000000002
136,10-0.35-30,11.6,13.832199999999998,14.006999999999996
137,10-0.35-45,11.6,13.711599999999994,13.611199999999997
138,10-0.35-60,11.6,13.608999999999996,13.900199999999998
139,10-0.35-75,11.6,13.315599999999996,13.415799999999999
140,10-0.35-90,11.6,14.208399999999997,14.174
141,10-0.45-0,11.6,13.140000000000004,13.319200000000002
142,10-0.45-15,11.6,12.504600000000003,12.682000000000002
143,10-0.45-30,11.6,12.831399999999999,12.941999999999998
144,10-0.45-45,11.6,12.575600000000003,12.500400000000004
145,10-0.45-60,11.6,12.688800000000004,12.538800000000005
146,10-0.45-75,11.6,12.367200000000008,12.316800000000006
147,10-0.45-90,11.6,12.994600000000005,13.177
148,11-0.25-0,13.06,13.4548,13.622999999999998
149,11-0.25-15,13.06,13.474599999999995,13.738399999999992
150,11-0.25-30,13.06,13.311599999999999,13.362199999999998
151,11-0.25-45,13.06,14.300399999999994,14.139399999999993
152,11-0.25-60,13.06,13.890399999999993,13.846599999999993
153,11-0.25-75,13.06,13.588999999999997,13.638399999999992
154,11-0.25-90,13.06,13.062399999999998,13.2588
155,11-0.35-0,13.06,12.9372,12.958200000000003
156,11-0.35-15,13.06,13.698199999999996,13.705
157,11-0.35-30,13.06,13.074999999999998,13.042
158,11-0.35-45,13.06,13.431799999999999,13.423200000000001
159,11-0.35-60,13.06,13.286399999999997,13.565799999999994
160,11-0.35-75,13.06,13.687199999999995,13.948999999999995
161,11-0.35-90,13.06,12.977599999999995,13.159999999999998
162,11-0.45-0,13.06,13.977599999999994,13.99059999999999
163,11-0.45-15,13.06,13.554999999999989,13.504799999999989
164,11-0.45-30,13.06,13.904599999999993,13.971799999999998
165,11-0.45-45,13.06,14.044199999999991,14.014199999999995
166,11-0.45-60,13.06,14.058199999999992,14.216999999999992
167,11-0.45-75,13.06,13.32399999999999,13.377199999999991
168,11-0.45-90,13.06,13.918999999999997,14.038399999999998
169,13-0.25-0,14.72,14.685999999999993,14.55899999999999
170,13-0.25-15,14.72,14.098199999999997,14.212399999999993
171,13-0.25-30,14.72,14.092399999999992,14.293599999999993
172,13-0.25-45,14.72,13.940399999999993,14.186799999999991
173,13-0.25-60,14.72,14.366399999999992,14.491999999999994
174,13-0.25-75,14.72,14.164799999999996,14.373599999999994
175,13-0.25-90,14.72,15.540399999999995,15.42479999999999
176,13-0.35-0,14.72,14.906599999999996,14.771199999999991
177,13-0.35-15,14.72,14.536199999999994,14.570599999999995
178,13-0.35-30,14.72,14.294599999999996,14.452599999999991
179,13-0.35-45,14.72,14.527999999999993,14.461199999999993
180,13-0.35-60,14.72,14.438599999999992,14.526599999999991
181,13-0.35-75,14.72,15.111599999999992,15.114799999999988
182,13-0.35-90,14.72,15.262399999999989,15.13419999999999
183,13-0.45-0,14.72,14.790799999999992,14.797999999999995
184,13-0.45-15,14.72,14.818599999999995,14.93079999999999
185,13-0.45-30,14.72,14.68539999999999,14.518799999999993
186,13-0.45-45,14.72,15.29659999999999,15.26659999999999
187,13-0.45-60,14.72,14.953399999999993,14.929399999999992
188,13-0.45-75,14.72,14.904199999999992,14.560799999999993
189,13-0.45-90,14.72,14.856399999999994,14.811599999999997
190,20-0.25-0,13.26,14.093999999999996,14.235599999999994
191,20-0.25-15,13.26,14.214799999999995,14.2586
192,20-0.25-30,13.26,13.808999999999994,13.739599999999989
193,20-0.25-45,13.26,14.184999999999995,14.1422
194,20-0.25-60,13.26,14.179799999999998,14.085399999999998
195,20-0.25-75,13.26,13.829599999999997,13.701399999999996
196,20-0.25-90,13.26,14.742599999999992,14.829999999999993
197,20-0.35-0,13.26,13.933999999999992,14.113399999999992
198,20-0.35-15,13.26,13.95499999999999,14.013999999999994
199,20-0.35-30,13.26,13.696399999999997,13.951999999999996
200,20-0.35-45,13.26,13.7278,13.2262
201,20-0.35-60,13.26,13.597599999999995,13.762999999999995
202,20-0.35-75,13.26,14.024199999999992,13.831399999999995
203,20-0.35-90,13.26,14.747999999999998,14.396799999999999
204,20-0.45-0,13.26,14.24599999999999,14.129799999999989
205,20-0.45-15,13.26,14.124799999999993,14.132999999999992
206,20-0.45-30,13.26,14.393599999999992,14.345799999999995
207,20-0.45-45,13.26,14.349599999999993,14.356799999999991
208,20-0.45-60,13.26,14.22819999999999,14.313199999999993
209,20-0.45-75,13.26,14.392999999999997,14.444
210,20-0.45-90,13.26,15.500999999999994,15.489599999999994
